skill
python
java
c++
sql
mysql
postgresql
mongodb
pandas
numpy
scikit-learn
tensorflow
pytorch
nlp
machine learning
deep learning
data science
flask
fastapi
django
streamlit
react
node.js
docker
kubernetes
linux
git
aws
azure
gcp
bigquery
spark
hadoop
airflow
excel
power bi
tableau
nlp
opencv
time series
bash
redis
rabbitmq
microservices
rest api
graphQL
ci/cd
terraform
ansible
